epoch,train_loss,train_loss_metric,train_loss_teacher_similarity,train_loss_positive_consistency,train_loss_quantization,train_loss_balance,train_loss_decorrelation,train_positive_hamming,train_mean_abs_bit_balance,train_mean_abs_continuous,train_pos_dist,train_neg_dist,train_positive_tail_loss,train_lr,train_temperature,val_pos_mean,val_pos_p95,val_pos_p99,val_valid_anchor_count,val_skipped_anchor_count,val_valid_anchor_ratio,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_roc_auc,val_eer,val_neg_mean,val_neg_p01,val_neg_p05,val_active_triplet_ratio,val_loss,val_batch_count,val_configured_finger_count,val_configured_batch_count,val_configured_batch_size,val_planned_positive_count,val_bit_one_fraction,val_bit_balance_error,val_constant_bit_ratio,val_checkpoint_selection_score,early_stop_best_selection_score,no_improve_epochs
49,0.06127,0.03715,0.004689,0.1462,0.06788,0.007667,0.01044,0.1059,0.06993,0.8753,0.6346,1.209,0.00356,0.0007734,0.4713,0.1604,0.2812,0.3672,8192,0,1,0.0003385,0.9291,0.9995,0.01039,0.4941,0.3633,0.4102,0.06763,0.00243,256,7,256,32,8192,0.4956,0.04465,0,0.8238,0.824,48
50,0.06155,0.03741,0.004707,0.1463,0.06784,0.007613,0.01046,0.106,0.06968,0.8754,0.6347,1.209,0.003563,0.0007645,0.4642,0.1603,0.2812,0.3633,8192,0,1,0.0002867,0.9323,0.9995,0.01008,0.4938,0.3633,0.4082,0.06665,0.002403,256,7,256,32,8192,0.4951,0.04636,0,0.8238,0.824,49
51,0.06105,0.03701,0.004721,0.1457,0.06743,0.007627,0.01046,0.1055,0.06972,0.8761,0.6333,1.21,0.003551,0.0007555,0.4571,0.1604,0.2832,0.3633,8192,0,1,0.0003027,0.9277,0.9995,0.009962,0.4941,0.3633,0.4102,0.06714,0.002382,256,7,256,32,8192,0.4953,0.04528,0,0.8235,0.824,50
52,0.0613,0.03721,0.004729,0.1461,0.06762,0.007609,0.01044,0.1058,0.06965,0.8758,0.6344,1.209,0.003543,0.0007464,0.4501,0.1607,0.2812,0.3691,8192,0,1,0.0002947,0.9272,0.9995,0.0106,0.4942,0.3633,0.4102,0.06677,0.00248,256,7,256,32,8192,0.4953,0.04447,0,0.8237,0.824,51
53,0.06037,0.03642,0.004737,0.1451,0.0671,0.0077,0.01049,0.1051,0.07005,0.8767,0.632,1.209,0.003482,0.0007372,0.4433,0.1603,0.2832,0.3652,8192,0,1,0.0003783,0.9296,0.9995,0.01026,0.4938,0.3633,0.4102,0.06702,0.00239,256,7,256,32,8192,0.4958,0.04631,0,0.8234,0.824,52
54,0.06039,0.03647,0.004757,0.1449,0.0669,0.007652,0.01048,0.105,0.06985,0.877,0.6316,1.209,0.00347,0.0007279,0.4365,0.1602,0.2832,0.3652,8192,0,1,0.0002867,0.9329,0.9995,0.01017,0.4942,0.3633,0.4102,0.06726,0.002385,256,7,256,32,8192,0.4962,0.04516,0,0.8236,0.824,53
55,0.05981,0.03603,0.004771,0.144,0.06625,0.007726,0.01053,0.1045,0.07024,0.8782,0.6299,1.209,0.003403,0.0007184,0.4299,0.1609,0.2832,0.3635,8192,0,1,0.0003106,0.9321,0.9995,0.01007,0.4942,0.3633,0.4102,0.06946,0.002437,256,7,256,32,8192,0.4964,0.04497,0,0.8234,0.824,54
56,0.05963,0.03583,0.004787,0.1441,0.06628,0.007738,0.01049,0.1046,0.07025,0.8781,0.6302,1.21,0.003451,0.0007089,0.4233,0.1602,0.2812,0.3633,8192,0,1,0.0003067,0.9293,0.9995,0.01006,0.4943,0.3633,0.4082,0.06812,0.002394,256,7,256,32,8192,0.4956,0.04455,0,0.8239,0.824,55
57,0.05919,0.03545,0.004775,0.1437,0.06615,0.007684,0.01051,0.1041,0.07001,0.8783,0.6289,1.21,0.003371,0.0006993,0.4169,0.1607,0.2812,0.3652,8192,0,1,0.0002867,0.927,0.9995,0.01029,0.4941,0.3633,0.4102,0.06689,0.002419,256,7,256,32,8192,0.4963,0.04528,0,0.8237,0.824,56
58,0.05951,0.0358,0.00479,0.1436,0.06592,0.00771,0.01052,0.1043,0.07014,0.8788,0.6292,1.21,0.003444,0.0006896,0.4105,0.1604,0.2812,0.3633,8192,0,1,0.0002947,0.9307,0.9996,0.009805,0.494,0.3652,0.4082,0.0658,0.00233,256,7,256,32,8192,0.4958,0.04536,0,0.8238,0.824,57
