epoch,train_loss,train_positive_tail_loss,train_positive_p95,train_positive_p99,val_loss,val_same_finger_loss,val_pos_mean,val_pos_p95,val_neg_mean,val_same_finger_pos_mean,val_same_finger_neg_mean,val_cross_finger_pos_mean,val_cross_finger_neg_mean,val_same_finger_neg_p01,val_same_finger_tail_gap,val_fpr_at_tpr95,val_same_finger_fpr_at_tpr95,val_cross_finger_fpr_at_tpr95,val_same_finger_tpr_at_fpr_1e_4,val_cross_finger_tpr_at_fpr_1e_4,val_same_finger_recall_at_1,val_cross_finger_recall_at_1,val_checkpoint_selection_score,val_checkpoint_selection_false_acceptance,val_checkpoint_selection_low_fpr_recall,val_checkpoint_selection_hard_negative_recall,val_checkpoint_selection_mean_gap,val_checkpoint_selection_tail_gap,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_selection_score,no_improve_epochs
42,0.02243,8.914e-07,0.4124,0.5387,0.1426,0.1532,0.4365,0.7517,1.124,0.4365,1.098,0.4365,1.134,0.7628,0.01113,0.003642,0.008976,0.001486,0.8748,0.8762,0.9978,0.9977,0.8138,0.9985,0.8762,0.9978,0.3488,0.04713,16384,0,0.05215,0.8242,23
43,0.0214,0,0.4088,0.5306,0.1437,0.1545,0.4312,0.7435,1.116,0.4312,1.089,0.4312,1.125,0.7611,0.01763,0.003621,0.007811,0.002065,0.8465,0.8295,0.9972,0.998,0.8083,0.9979,0.8465,0.998,0.3471,0.05512,16384,0,0.05091,0.8242,24
44,0.02082,8.532e-09,0.4079,0.5301,0.1417,0.1514,0.4275,0.7331,1.114,0.4275,1.089,0.4275,1.123,0.7522,0.01903,0.002706,0.006333,0.001276,0.8467,0.8304,0.9983,0.998,0.8087,0.9987,0.8467,0.9983,0.3478,0.05375,16384,0,0.04966,0.8242,25
45,0.01959,1.377e-07,0.4021,0.519,0.1416,0.1545,0.4359,0.7417,1.123,0.4359,1.094,0.4359,1.134,0.7844,0.04267,0.003011,0.007651,0.001353,0.8633,0.8693,0.9969,0.997,0.8137,0.9986,0.8693,0.997,0.3489,0.05994,16384,0,0.0484,0.8242,26
46,0.0186,3.323e-08,0.3983,0.5129,0.145,0.1557,0.4386,0.7451,1.121,0.4386,1.093,0.4386,1.131,0.7764,0.0313,0.002258,0.005324,0.001117,0.8958,0.9025,0.9975,0.9971,0.8201,0.9989,0.9025,0.9975,0.3462,0.0585,16384,0,0.04713,0.8242,27
47,0.01843,6.096e-07,0.3977,0.512,0.1438,0.1487,0.4425,0.7623,1.127,0.4425,1.103,0.4425,1.136,0.7835,0.02122,0.003215,0.006673,0.001887,0.8728,0.919,0.9979,0.9968,0.823,0.9981,0.919,0.9979,0.3467,0.05736,16384,0,0.04585,0.8242,28
48,0.01733,0,0.3936,0.5042,0.1377,0.1471,0.4338,0.7379,1.125,0.4338,1.101,0.4338,1.134,0.7997,0.06171,0.002136,0.003478,0.001628,0.8826,0.8342,0.9975,0.9971,0.8162,0.9984,0.8826,0.9975,0.35,0.05737,16384,0,0.04457,0.8242,29
49,0.0164,0,0.3904,0.4965,0.1457,0.158,0.449,0.7629,1.129,0.449,1.104,0.449,1.139,0.7675,0.004552,0.003337,0.008237,0.001486,0.8269,0.8494,0.998,0.9979,0.8085,0.9985,0.8494,0.998,0.3449,0.05052,16384,0,0.04328,0.8242,30
50,0.01596,3.316e-10,0.3883,0.4932,0.1389,0.1495,0.431,0.7324,1.12,0.431,1.095,0.431,1.129,0.7951,0.06278,0.002157,0.004672,0.001247,0.8419,0.896,0.9976,0.9978,0.8193,0.9988,0.896,0.9978,0.3492,0.06087,16384,0,0.04199,0.8242,31
51,0.01473,4.237e-09,0.3833,0.4866,0.1453,0.1572,0.44,0.7545,1.12,0.44,1.095,0.44,1.13,0.78,0.0255,0.003398,0.005184,0.002694,0.8727,0.9006,0.9978,0.9983,0.8184,0.9973,0.9006,0.9983,0.3448,0.05277,16384,0,0.0407,0.8242,32
52,0.01462,0,0.3825,0.4827,0.1453,0.1545,0.4349,0.7425,1.116,0.4349,1.095,0.4349,1.125,0.7502,0.00774,0.003621,0.009164,0.001469,0.834,0.8508,0.9977,0.9978,0.8088,0.9985,0.8508,0.9978,0.345,0.05152,16384,0,0.0394,0.8242,33
53,0.01366,0,0.3793,0.4754,0.1426,0.1534,0.4382,0.7389,1.123,0.4382,1.097,0.4382,1.133,0.7859,0.04691,0.001872,0.004779,0.000783,0.8384,0.8809,0.9985,0.9984,0.8167,0.9992,0.8809,0.9985,0.3472,0.06363,16384,0,0.03811,0.8242,34
54,0.01292,0,0.3762,0.4699,0.1457,0.1537,0.436,0.7325,1.118,0.436,1.093,0.436,1.127,0.7641,0.03154,0.00415,0.007612,0.002835,0.8486,0.7853,0.9974,0.9979,0.808,0.9972,0.8486,0.9979,0.3454,0.05283,16384,0,0.03682,0.8242,35
55,0.01228,0,0.3725,0.4632,0.1456,0.1587,0.4396,0.7472,1.121,0.4396,1.094,0.4396,1.131,0.7874,0.04011,0.002909,0.00556,0.001907,0.8306,0.911,0.996,0.9981,0.8209,0.9981,0.911,0.9981,0.3459,0.052,16384,0,0.03553,0.8242,36
56,0.01161,0,0.37,0.4591,0.1439,0.1533,0.4391,0.7516,1.124,0.4391,1.1,0.4391,1.133,0.7674,0.01575,0.00293,0.007831,0.001018,0.725,0.8867,0.9978,0.9973,0.8163,0.999,0.8867,0.9978,0.3471,0.05011,16384,0,0.03425,0.8242,37
57,0.01113,0,0.3673,0.4546,0.145,0.1571,0.448,0.7644,1.131,0.448,1.108,0.448,1.14,0.7895,0.02517,0.002319,0.004922,0.001363,0.8724,0.8498,0.9967,0.9968,0.8132,0.9986,0.8724,0.9968,0.3459,0.05227,16384,0,0.03297,0.8242,38
58,0.01062,0,0.3657,0.4485,0.1492,0.1596,0.4427,0.7513,1.119,0.4427,1.092,0.4427,1.129,0.7625,0.01115,0.003011,0.007686,0.001351,0.8455,0.8569,0.9957,0.9966,0.81,0.9986,0.8569,0.9966,0.3432,0.05418,16384,0,0.0317,0.8242,39
59,0.01003,0,0.3633,0.4445,0.1422,0.1516,0.4442,0.7558,1.129,0.4442,1.105,0.4442,1.139,0.7839,0.02811,0.002584,0.005641,0.001408,0.8694,0.8505,0.998,0.9972,0.813,0.9986,0.8694,0.998,0.3472,0.05344,16384,0,0.03044,0.8242,40
60,0.00892,0,0.3579,0.434,0.1459,0.1558,0.4439,0.7538,1.124,0.4439,1.101,0.4439,1.134,0.7589,0.005099,0.003092,0.007229,0.00145,0.8399,0.8985,0.9988,0.9967,0.8183,0.9986,0.8985,0.9988,0.345,0.0498,16384,0,0.02919,0.8242,41
61,0.008159,0,0.354,0.4274,0.1466,0.1536,0.4506,0.7633,1.132,0.4506,1.108,0.4506,1.141,0.7958,0.03252,0.002645,0.005535,0.001545,0.8933,0.8433,0.9983,0.9968,0.8181,0.9985,0.8933,0.9983,0.3453,0.05848,16384,0,0.02795,0.8242,42
62,0.008328,0,0.355,0.4284,0.1441,0.1538,0.4374,0.7427,1.121,0.4374,1.097,0.4374,1.13,0.7743,0.03157,0.002299,0.003964,0.001661,0.9027,0.9124,0.9974,0.9969,0.8214,0.9983,0.9124,0.9974,0.3465,0.05373,16384,0,0.02673,0.8242,43
63,0.007808,0,0.3519,0.424,0.1452,0.1515,0.4402,0.7437,1.121,0.4402,1.097,0.4402,1.13,0.7831,0.03942,0.001729,0.004205,0.0007636,0.8732,0.8409,0.9975,0.9978,0.8146,0.9992,0.8732,0.9978,0.345,0.06163,16384,0,0.02551,0.8242,44
64,0.007261,0,0.3492,0.4186,0.1452,0.1546,0.4411,0.7499,1.122,0.4411,1.095,0.4411,1.133,0.735,-0.01485,0.004618,0.01039,0.002285,0.8286,0.8912,0.9969,0.9968,0.8163,0.9977,0.8912,0.9969,0.3462,0.04913,16384,0,0.02432,0.8242,45
65,0.006613,0,0.346,0.4107,0.1448,0.1518,0.4494,0.7653,1.133,0.4494,1.109,0.4494,1.142,0.8054,0.0401,0.002462,0.005315,0.001417,0.8398,0.8474,0.9969,0.9974,0.8087,0.9986,0.8474,0.9974,0.3461,0.05606,16384,0,0.02314,0.8242,46
66,0.005953,0,0.3435,0.4044,0.1439,0.1562,0.4392,0.7506,1.123,0.4392,1.096,0.4392,1.133,0.7883,0.03772,0.002218,0.006552,0.0006133,0.8582,0.9056,0.9963,0.9978,0.8209,0.9994,0.9056,0.9978,0.347,0.05659,16384,0,0.02197,0.8242,47
67,0.005605,0,0.3406,0.3994,0.1441,0.1566,0.4436,0.7492,1.127,0.4436,1.102,0.4436,1.137,0.7861,0.03687,0.003092,0.00605,0.001947,0.8945,0.8499,0.9986,0.998,0.8178,0.9981,0.8945,0.9986,0.3469,0.05286,16384,0,0.02083,0.8242,48
68,0.005077,0,0.3376,0.3936,0.1415,0.1522,0.4419,0.7525,1.129,0.4419,1.105,0.4419,1.137,0.7833,0.03079,0.003967,0.008199,0.002418,0.8339,0.9004,0.998,0.9983,0.8181,0.9976,0.9004,0.9983,0.3477,0.04587,16384,0,0.0197,0.8242,49
69,0.004883,0,0.3359,0.3919,0.147,0.1557,0.4488,0.7565,1.129,0.4488,1.104,0.4488,1.139,0.7942,0.03773,0.003682,0.007153,0.002284,0.8788,0.895,0.9969,0.9974,0.817,0.9977,0.895,0.9974,0.3448,0.04963,16384,0,0.0186,0.8242,50
70,0.004447,0,0.3332,0.3866,0.1447,0.1516,0.4495,0.7598,1.131,0.4495,1.107,0.4495,1.141,0.7847,0.02486,0.003296,0.007717,0.001581,0.7766,0.9169,0.9975,0.998,0.8216,0.9984,0.9169,0.998,0.3457,0.04688,16384,0,0.01752,0.8242,51
71,0.003979,0,0.3304,0.3804,0.1409,0.15,0.4429,0.7525,1.13,0.4429,1.107,0.4429,1.14,0.7921,0.03959,0.003133,0.006653,0.001692,0.9078,0.8358,0.9976,0.9974,0.8203,0.9983,0.9078,0.9976,0.3485,0.0497,16384,0,0.01646,0.8242,52
72,0.003771,0,0.3283,0.3761,0.1435,0.1511,0.451,0.7622,1.136,0.451,1.113,0.451,1.145,0.8189,0.05671,0.001465,0.003209,0.0008112,0.8702,0.8629,0.9965,0.9959,0.8129,0.9992,0.8702,0.9965,0.3469,0.05074,16384,0,0.01543,0.8242,53
73,0.003382,0,0.3256,0.3712,0.1428,0.1543,0.4473,0.7522,1.132,0.4473,1.106,0.4473,1.142,0.7954,0.04322,0.002584,0.006468,0.001143,0.9059,0.8478,0.9978,0.9985,0.8203,0.9989,0.9059,0.9985,0.3472,0.05119,16384,0,0.01443,0.8242,54
74,0.003107,0,0.3229,0.3673,0.1463,0.1583,0.4487,0.7525,1.128,0.4487,1.103,0.4487,1.138,0.7867,0.0342,0.002116,0.004905,0.001042,0.8539,0.8662,0.9965,0.9972,0.8116,0.999,0.8662,0.9972,0.3447,0.04743,16384,0,0.01345,0.8242,55
75,0.002883,0,0.3209,0.3627,0.1458,0.1569,0.4557,0.764,1.136,0.4557,1.111,0.4557,1.145,0.7877,0.02376,0.002116,0.005055,0.0009859,0.8966,0.8665,0.998,0.9971,0.8189,0.999,0.8966,0.998,0.3447,0.05876,16384,0,0.0125,0.8242,56
76,0.002643,0,0.3181,0.3582,0.1486,0.1592,0.451,0.755,1.128,0.451,1.101,0.451,1.138,0.7749,0.0199,0.00293,0.008942,0.0006457,0.8627,0.863,0.9966,0.9982,0.8124,0.9994,0.863,0.9982,0.3435,0.05994,16384,0,0.01157,0.8242,57
